          <idle>-0       [003] ..s2. 1295657.000521: bpf_trace_printk: port: 11211, total_metrics_size is 656 
          <idle>-0       [003] .Ns2. 1295658.503550: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.503555: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.503561: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.503565: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.503570: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.503570: bpf_trace_printk: Elapsed cycles are 197436
          <idle>-0       [003] ..s2. 1295658.603688: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.603694: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.603699: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.603704: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.603708: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.603713: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.603719: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.603723: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.603728: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.603733: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.603734: bpf_trace_printk: Elapsed cycles are 206366
          <idle>-0       [003] ..s2. 1295658.703846: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.703851: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.703856: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.703861: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.703865: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.703871: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.703875: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.703880: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.703884: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.703890: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.703891: bpf_trace_printk: Elapsed cycles are 191956
          <idle>-0       [003] ..s2. 1295658.804004: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.804010: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.804014: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.804019: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.804023: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.804029: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.804033: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.804038: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.804042: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.804047: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.804048: bpf_trace_printk: Elapsed cycles are 185804
          <idle>-0       [003] ..s2. 1295658.904161: bpf_trace_printk: port: 11211, total_metrics_size is 656 

